SP,WT
104.1854,28.76206
105.4613,30.46683
105.4613,30.1936
113.4613,30.63211
104.4613,29.88915
113.1854,29.59177
105.4613,30.30848
102.5985,15.84776
102.5985,16.35948
115.6452,30.92015
111.1854,29.36334
117.5985,15.75353
122.1051,32.81359
111.1854,29.37844
108.1854,29.34728
111.1854,29.60453
114.3693,29.53578
117.5985,16.19412
114.3693,29.92939
118.4729,33.51697
119.1051,32.32465
110.8408,34.90821
120.289,32.67583
113.8291,31.83712
119.1854,28.78173
114.5985,16.04917
120.7605,38.06282
119.1051,32.83507
99.56491,34.48321
121.8408,35.54936
113.4846,37.04235
112.289,33.23436
119.9211,31.38004
121.3926,37.57329
